0x8b0890,CP,ObjTypeID,PaletteID,TileConfigID,MapID,Anims1,Anims2,MapChangesID,Fog,N/A,Chapter Title,N/A,Initial coord,N/A,Weather,BattleBG,DifficultyBonus,Player Phase BGM,Enemy Phase BGM,NPC BGM,N/A (Player Battle BGM),N/A (Enemy Battle BGM),N/A (Ally Battle BGM),Player Phase BGM Flag 4,Enemy Phase BGM Flag 4,N/A (Preparation BGM),N/A,N/A,Wall HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Convoy Split,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChName,N/A (ChName),EventsID,WMEventsID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChNumber,N/A,N/A,N/A,N/A,N/A,Foes for Victory BGM,Dark Before Initial Event,StatusObjectiveText,GoalWindowText,GoalWindowInfo,Turns to Defend,Unit to Defend,Withdrawal Point,N/A,N/A,N/A,N/A
Prologue I,0x81c32c8,0x1,0x2,0x3,0x4,0x5,0x0,0x6,0x0,0x0,0x0,0x0,7,12,0x1,0x1,0x1A0,0x62,0x94,0x62,0x3E0,0xFFFF,0xEC,0x9,0xffff,0x3DC,0xffff,0xffff,10,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x160,0x160,0x7,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1a5,0x1a1,0x0,0,0x0,0,2,0x1d,0x0,0x0
1-1,0x81c32cc,0x1,0x2,0x3,0x8,0x5,0x0,0x9,0x0,0x0,0x1,0x0,1,0,0x1,0x1,0x3A0,0x143,0x20E,0x143,0x3E0,0xFFFF,0xEC,0xffff,0xffff,0x3DC,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x161,0x161,0xa,0x2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2,0x0,0xff,0xff,0x0,0x0,0x1,0x0,DefeatCh1LongObj,DefeatBossObj,0x3,0,0x0,255,0,0x18,0x0,0x0
1-2,0x81c32d0,0x1,0x2,0x3,0xb,0x5,0x0,0xc,0x0,0x0,0x2,0x0,1,0,0x1,0x1,0x370,0x12D,0x12D,0x12D,0x3E0,0x3d8,0xEC,0x204,0x204,0x3DC,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x162,0x162,0xd,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x4,0x0,0xff,0xff,0x0,0x0,0x1,0x1,Ch2LongObj,EscapeObj,0x2,11,0x0,255,0,0x3,0x0,0x0
1-3,0x81c32d4,0xe,0xf,0x10,0x11,0x12,0x0,0x13,0x0,0x0,0x3,0x0,8,10,0x2,0x1,0x370,0x13A,0x205,0x13A,0x3E0,0xFFFF,0xEC,0xffff,0xffff,0x3DC,0xffff,0xffff,25,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x163,0x163,0x14,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeCh3LongObj,SeizeCh3,0x0,0,0x0,11,0,0x28,0x0,0x0
1-5,0x81c32d8,0x1,0x2,0x3,0x15,0x5,0x0,0x16,0x0,0x0,0x4,0x0,1,0,0x2,0x1,0x350,0x12F,0x12F,0x12F,0x3E0,0x3d8,0xEC,0x2bb,0x2bb,0x3DC,0xffff,0xffff,30,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x164,0x164,0x17,0x5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xA,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefendCh4LongObj,DefendCh4Obj,0x2,11,0x0,0,4,0x18,0x0,0x0
1-6,0x81c32dc,0x18,0x19,0x1a,0x1b,0x1c,0x0,0x1d,0x0,0x0,0x5,0x0,1,0,0x1,0x1,0x370,0x64,0x206,0x64,0x3E0,0xFFFF,0xEC,0xffff,0xffff,0x3DC,0xffff,0xffff,25,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x165,0x165,0x1e,0x6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xC,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatBossObj,DefeatBossObj,0x3,0,0x0,255,0,0xc,0x0,0x0
1-F,0x81c32e0,0xe,0xf,0x10,0x1f,0x12,0x0,0x20,0x0,0x0,0x6,0x0,2,16,0x0,0x1,0x350,0x3E3,0x3E3,0x3E4,0x3E0,0x3d8,0x5D,0x3b1,0xf3,0x93,0xffff,0xffff,40,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x166,0x166,0x21,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SecureCh6LongObj,SecureCh6Obj,0x2,13,0x4b,15,6,0x5,0x0,0x0
2-1,0x81c32e4,0x1,0x2,0x3,0x22,0x0,0x0,0x23,0x0,0x0,0x7,0x0,4,4,0x0,0x1,0x240,DreamingBGM,DreamingBGM,DreamingBGM,ConfidenceBGM,ChaseOfShadowBGM,0x118,0xffff,0xffff,0x153,0xffff,0xffff,15,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,1,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x167,0x167,0x24,0x8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1A,0x0,0xff,0xff,0x0,0x0,0x1,0x1,Ch7LongObj,RoutRescueObj,0x2,14,0x0,255,0,0x1a,0x0,0x0
1-1x,0x81c32e8,0x1,0x2,0x3,0x25,0x5,0x0,0x26,0x0,0x0,0x8,0x0,7,7,0x1,0x1,0x350,0x152,0x152,0x152,0x3E0,0x3d8,0xEC,0xffff,0xffff,0x34,0xffff,0xffff,15,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x168,0x168,0x27,0x9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DaeTriangularStrategem,RoutObj,0x1,0,0x0,255,0,0x18,0x0,0x0
2-4,0x81c32ec,0x18,0x19,0x1a,0x28,0x1c,0x0,0x29,0x0,0x0,0x9,0x0,7,7,0x2,0x1,0x240,0x3cb,0x3cb,0x3cb,ConfidenceBGM,ChaseOfShadowBGM,0x118,0xffff,0xffff,0x153,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,1,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x169,0x169,0x2a,0xa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1C,0x0,0xff,0xff,0x0,0x0,0x1,0x0,Ch8LongObj,EscapeObj,0x2,21,0x0,0,8,0xc,0x0,0x0
