INLINE NewSpellAssociationTable,Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,##UNKNOWN##,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0x0,IronSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1,IronBlade,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2,SteelSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x3,SilverSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x4,SlimSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5,PoisonSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6,BraveSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7,LightBrand,2,0x1f,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x8,Union,2,0x38,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9,Armourslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa,Rapier,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb,IronDagger,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc,0xc0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd,KillingEdge,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe,Lancereaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf,Longsword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x10,IronLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x11,SteelLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x12,SilverLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x13,SlimLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x14,PoisonLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x15,BraveLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x16,Javelin,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x17,Horseslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x18,KillerLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x19,Axereaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,HeavySpear,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,ShortSpear,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,0xc3,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,IronAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,SteelAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,SilverAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x20,PoisonAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x21,BraveAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x22,HandAxe,2,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x23,0xbd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x24,Hammer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x25,KillerAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x26,Swordslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x27,Swordreaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x28,DevilAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x29,Halberd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,0xc4,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,0xc5,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,0xc6,2,0x17,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x2d,IronBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,SteelBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,SilverBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x30,PoisonBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x31,KillerBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x32,BraveBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x33,ShortBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x34,Longbow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x35,0xc7,2,0x15,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x36,Ballista,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x37,IronBallista,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x38,KillerBallista,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x39,Fire,2,0x16,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x3a,Thunder,2,0x19,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x3b,Fimbulvetr,2,0x1b,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x3c,Elfire,2,0x18,0x0,0x0,0x0,0x1,0x0,0x3,0x0
0x3d,Fenrir,2,0x25,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x3e,Bolting,2,0x1a,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x3f,0xbf,2,0x18,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x40,Lightning,2,0x1f,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x41,Divine,2,0x22,0x0,0x0,0x0,0x1,0x0,0x5,0x0
